"RaceYearId","Event","Race","City","Country","Date","StartTime","Participation","Distance","ElevationGain","ElevationLoss","AidStations","Participants","lat","lon"
69319,"Ultra-Trail® Drakensberg","UTD 160","Underberg","South Africa","2021-04-23","10:00:00","solo",171.6,5160,-6500,12,0,-29.7928766,29.4918178
69523,"Jiangnan 100 Mile","100Mile","Ningbo","China","2021-04-16","14:00:00","solo",161,7060,-7060,13,150,29.868336,121.54399
65403,"Zion","Zion 100","Virgin","United States","2021-04-10","05:00:00","solo",160.8,2830,-2880,15,250,35.953292,-116.5867039
68615,"Patagonia Run","100 Miles","SanMartinDeLosAndes","Argentina","2021-04-09","10:00:00","solo",163.7,8140,-8140,15,280,-40.1572103,-71.3524436
69758,"Ultra Trail Jinan","168km","jinan","China","2021-04-09","16:00:00","solo",161.5,10810,-10790,16,100,36.6512,117.120095
70118,"QLG168","QLG168","QUZHOU","China","2021-04-02","16:30:00","solo",168,10740,-10740,10,10,28.970079,118.859457
71992,"Antelope Island Buffalo Run","100 mile","Syracuse","United States","2021-03-26","10:00:00","Solo",162,2200,-2200,16,400,43.0481221,-76.1474244
68098,"Kullamannen 2021 Covid-19","Kullamannen 100 miles","Kullaberg","Sweden","2021-03-26","09:00:00","solo",163.6,1910,-1930,4,600,56.2959044,12.4682503
71140,"Northburn 100 Miler","100 Mile","Cromwell","New Zealand","2021-03-20","06:00:00","solo",161.4,9460,-9470,12,50,-45.0459401,169.1955689
68348,"UTTGN Sport HG | TARRAGONA","Gran Trail Catalunya","Tarragona","Spain","2021-03-05","22:00:00","solo",169.8,5160,-5160,13,50,41.1188827,1.2444909
64671,"Victoria 162","V162 Virtual","HongKong","Hong Kong, China","2021-02-27","00:00:00","solo",166.7,7700,-7700,0,200,22.3193039,114.1693611
68501,"Storstenshöjden 100 miles","Storstenshöjden 100 miles","Örebro","Sweden","2021-02-19","06:00:00","solo",168.4,11550,-11530,0,50,59.2752626,15.2134105
64219,"Tarawera Ultramarathon","100 Miler","Rotorua","New Zealand","2021-02-13","04:00:00","solo",165.4,5510,-5520,14,300,-38.1445987,176.2377669
65413,"HOKA ONE ONE Rocky Raccoon","100 Mile","Huntsville","United States","2021-02-06","06:00:00","solo",160.9,2200,-2200,19,500,34.7303688,-86.5861037
69001,"Coldwater Rumble","100 Miles","Goodyear","United States","2021-01-16","07:00:00","solo",161.8,2660,-2670,16,600,33.4353394,-112.3576567
68010,"UTCL100","UTCL 100 Miles","Bogor","Indonesia","2021-01-09","06:00:00","solo",161,6420,-6410,18,30,-6.5971469,106.8060388
67526,"UTSZ 2020 Trail Races","UTSZ 100 miles","Shenzhen","China","2020-12-26","04:30:00","solo",162.6,6610,-6630,8,50,22.543096,114.057865
68562,"Run Guizhou League Finals","Luodian168KM","Luodian","China","2020-12-25","14:00:00","solo",167.7,9770,-9770,15,50,31.395154,121.355857
64575,"Mad Fox Ultra Rise","Valhalla Race","PereslavlZalesskiy","Russia","2020-12-19","16:00:00","solo",167.5,1200,-1200,10,150,56.747048,38.8902603
68007,"Falls 100 Ultra Trail Race","Falls 100 - 100 Mile","FallsofRough","United States","2020-12-05","07:00:00","solo",164.5,4310,-4310,24,250,37.5900543,-86.5488713
58877,"Blood Rock 100 Mile Endurance Trail Race","100 Mile","Pelham","United States","2020-12-04","12:00:00","solo",161.9,7610,-7610,16,200,33.2856687,-86.8099885
67289,"Sky Ultra Pico Mx","SKY ULTRA PICO MX 100M","ORIZABA","Mexico","2020-12-04","00:01:00","solo",160.2,8660,-8660,15,75,18.8504744,-97.1036396
67634,"Ultra Trail Three Gorges","UTTG","Yichang","China","2020-11-26","18:00:00","solo",170.8,10470,-10320,13,200,30.691966,111.286471
56323,"Best of San Diego 100 Miler","100 Miler","SanDiego","United States","2020-11-21","05:00:00","solo",160.9,2590,-2590,5,0,32.715738,-117.1610838
64481,"Panda Trail by UTMB®","DPT","Dujiangyan","China","2020-11-20","18:00:00","solo",157.8,9280,-9280,12,0,30.988434,103.646912
59437,"Pinhoti 100","Pinhoti 100","Sylacauga","United States","2020-11-07","07:00:00","solo",155,4060,-4180,17,250,33.1731716,-86.2516406
62737,"Rim to River Endurance Company","Rim to River 100","OakHill","United States","2020-11-07","06:30:00","solo",160.9,3760,-3750,8,250,40.5796477,-85.8208108
69754,"Tunnel Hill  100 & 50 mile runs","100mi","Vienna","United States","2020-11-07","07:00:00","solo",161.4,1690,-1690,21,0,38.9012225,-77.2652604
67282,"Pong Yaeng Trail","Pong Yaeng Trail 166","ChiangMai","Thailand","2020-11-06","10:00:00","solo",167.5,8280,-8060,14,200,18.7883439,98.9853008
59805,"Javelina Jundred","100 Miles","FortMcDowell","United States","2020-10-31","06:00:00","solo",160.5,1720,-1720,26,800,33.6367105,-111.6745826
67406,"Halloween hike","160 km","Kannonkoski","Finland","2020-10-30","19:00:00","solo",160.3,2110,-2110,5,0,62.9757941,25.2613027
62531,"THAILAND BY UTMB","Inthanon 6","ChomThong","Thailand","2020-10-30","10:00:00","solo",159.6,7340,-7340,15,500,18.4204633,98.6724282
62021,"Cactus Rose","100 Mile","Bandera","United States","2020-10-24","05:00:00","solo",162.4,3500,-3500,20,550,29.7266131,-99.0736462
62193,"Cloudsplitter 100","100 Mile","Norton","United States","2020-10-17","08:00:00","solo",157.5,5610,-5610,16,100,39.7959566,-99.9912254
67914,"Shanhaiguan Trail Race","168K","qinhuangdao","China","2020-10-17","04:00:00","solo",162,9320,-9070,14,100,39.935361,119.600523
56017,"Mines of Spain","100 Mile","Davenport","United States","2020-10-16","08:00:00","solo",167.5,4310,-4320,19,0,41.5236437,-90.5776367
51397,"Bèrghem Ultra","Åkersætra 666 m.o.h.","Hamar","Norway","2020-10-10","08:00:00","solo",163.2,2970,-3360,0,50,60.7945331,11.0679977
56693,"Centurion Autumn 100","Centurion Autumn 100","GoringOnThames","United Kingdom","2020-10-10","09:00:00","solo",161.5,2060,-2060,16,250,51.5227526,-1.1333445
58579,"Midstate Massive Ultra Trail","Midstate Massive Ultra Trail","NewIpswitch","United States","2020-10-10","00:00:00","solo",163.6,3720,-3980,16,125,42.7362307,-71.8808499
49589,"Täby Extreme Challenge","TEC 100 Miles","Täby","Sweden","2020-10-08","10:00:00","solo",160.7,1610,-1610,13,180,39.6823737,-75.5455018
54013,"SPARNATRAIL","P'tiot Sparnatrail","EPERNAY","France","2019-11-10","07:45:00","solo",33.3,750,-750,1,1800,49.043411,3.956242
66483,"Mt. Wumeng Ultra Trail","KINETIK 165K","Zhaotong","China","2020-10-02","19:00:00","solo",164.1,7440,-7090,13,80,27.338257,103.717465
62347,"North Coast 100","North Coast 110M","Barnstaple","United Kingdom","2020-10-02","07:00:00","solo",174.5,5570,-5540,8,50,51.0781599,-4.058338
60243,"Schinder-Trail Backyard Ultra","23 Loops","Rettert","Germany","2020-10-02","20:00:00","solo",157.2,3060,-3060,23,200,50.2314587,7.9382509
61189,"Spain Backyard Ultra","Spain Backyard Ultra  24 Loops","CastroCaldelas","Spain","2020-09-26","10:00:00","solo",161.1,6890,-6890,23,150,42.3745086,-7.4148708
59557,"BEAR 100","Bear 100 Endurance Trail Race","Smithfield","United States","2020-09-25","06:00:00","solo",162.7,6460,-6130,13,300,36.9823709,-76.6310662
66321,"Cold Hawaii Ultra","Cold Hawaii Ultra 100 miles","Thisted","Denmark","2020-09-25","18:00:00","solo",162.6,2000,-2010,6,50,56.959168,8.7034921
65591,"Mossarun","Mossarun 2020, 24h/100 miles","Älmhult","Sweden","2020-09-19","12:00:00","solo",171.8,3940,-3950,0,50,56.5524461,14.1374047
59995,"Sangre de Cristo Ultras","100-Mile","Westcliffe","United States","2020-09-19","04:00:00","solo",168.2,5910,-5910,13,300,38.1347219,-105.4658353
